plan_title,type,label,shape,x,y,w,d,note
Plan A (Wall),desk,WS1_D,,3310,0,1200,700,
Plan A (Wall),chair,WS1_C,,3560,705,700,700,
Plan A (Wall),desk,WS2_D,,3310,2310,1200,700,
Plan A (Wall),chair,WS2_C,,3560,1605,700,700,
Plan A (Wall),desk,WS3_D,,2110,0,1200,700,
Plan A (Wall),chair,WS3_C,,2360,705,700,700,
Plan A (Wall),desk,WS4_D,,2110,2310,1200,700,
Plan A (Wall),chair,WS4_C,,2360,1605,700,700,
Plan A (Wall),desk,WS5_D,,910,2310,1200,700,
Plan A (Wall),chair,WS5_C,,1160,1605,700,700,
Plan A (Wall),storage_M,EQ1,,0,2110,450,900,
Plan A (Wall),door_arc,,,0,100,900,850,
Plan B (Face-to-Face),desk,WS1_D,,2110,905,1200,600,
Plan B (Face-to-Face),chair,WS1_C,,2360,200,700,700,
Plan B (Face-to-Face),desk,WS2_D,,2110,1505,1200,600,
Plan B (Face-to-Face),chair,WS2_C,,2360,2110,700,700,
Plan B (Face-to-Face),desk,WS3_D,,3310,905,1200,600,
Plan B (Face-to-Face),chair,WS3_C,,3560,200,700,700,
Plan B (Face-to-Face),desk,WS4_D,,3310,1505,1200,600,
Plan B (Face-to-Face),chair,WS4_C,,3560,2110,700,700,
Plan B (Face-to-Face),desk,WS5_D,,1510,905,600,1200,
Plan B (Face-to-Face),chair,WS5_C,,805,1155,700,700,
Plan B (Face-to-Face),dim_v,,,1810,5,0,900,
Plan B (Face-to-Face),dim_v,,,1810,2105,0,900,
Plan B (Face-to-Face),storage_M,EQ1,,0,2110,450,900,
Plan B (Face-to-Face),door_arc,,,0,100,900,850,
